epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
157,51427.3,0.51564,0.8382,0.97652,0.52243,0.006139,0.006139,0.006139
158,51747.5,0.51466,0.83947,0.97652,0.51573,0.00611425,0.00611425,0.00611425
159,52067.4,0.51217,0.84201,0.97652,0.50997,0.0060895,0.0060895,0.0060895
160,52387.5,0.50733,0.84454,0.97716,0.50403,0.00606475,0.00606475,0.00606475
161,52707.7,0.492,0.84264,0.97843,0.49897,0.00604,0.00604,0.00604
162,53027.4,0.4973,0.84708,0.97843,0.49341,0.00601525,0.00601525,0.00601525
163,53347.4,0.49452,0.84835,0.97906,0.48854,0.0059905,0.0059905,0.0059905
164,53667.8,0.48137,0.85152,0.9797,0.48374,0.00596575,0.00596575,0.00596575
165,53988.4,0.48954,0.85216,0.97843,0.47944,0.005941,0.005941,0.005941
166,54308.1,0.48701,0.85596,0.97843,0.47508,0.00591625,0.00591625,0.00591625
167,54625.3,0.48767,0.8566,0.97906,0.47171,0.0058915,0.0058915,0.0058915
168,54942.3,0.48026,0.85914,0.97906,0.46819,0.00586675,0.00586675,0.00586675
169,55259.2,0.47599,0.86041,0.98033,0.46391,0.005842,0.005842,0.005842
170,55576.2,0.48002,0.86231,0.98223,0.45917,0.00581725,0.00581725,0.00581725
171,55894.6,0.468,0.86358,0.98287,0.45518,0.0057925,0.0057925,0.0057925
172,56212.6,0.46456,0.86612,0.98287,0.45028,0.00576775,0.00576775,0.00576775
173,56531.1,0.46754,0.86675,0.98287,0.4449,0.005743,0.005743,0.005743
174,56850.6,0.4582,0.86739,0.98287,0.44008,0.00571825,0.00571825,0.00571825
175,57170.1,0.45363,0.86865,0.9835,0.43554,0.0056935,0.0056935,0.0056935
176,57489.6,0.45597,0.87119,0.9835,0.43211,0.00566875,0.00566875,0.00566875
177,57808.8,0.4505,0.87183,0.98477,0.4264,0.005644,0.005644,0.005644
178,58128.2,0.44639,0.87246,0.98541,0.42153,0.00561925,0.00561925,0.00561925
179,58447.5,0.45014,0.87437,0.98604,0.41683,0.0055945,0.0055945,0.0055945
180,58766.7,0.45119,0.87183,0.98604,0.41328,0.00556975,0.00556975,0.00556975
181,59086.9,0.44504,0.87437,0.98604,0.41071,0.005545,0.005545,0.005545
182,59404.9,0.44665,0.87754,0.98604,0.40852,0.00552025,0.00552025,0.00552025
183,59723.1,0.43874,0.87754,0.98604,0.40558,0.0054955,0.0054955,0.0054955
184,60041.6,0.43463,0.8769,0.98604,0.40279,0.00547075,0.00547075,0.00547075
185,60359.5,0.43008,0.87881,0.98731,0.39978,0.005446,0.005446,0.005446
186,60679.2,0.43711,0.88135,0.98794,0.3967,0.00542125,0.00542125,0.00542125
187,60998.2,0.42548,0.88198,0.98794,0.39294,0.0053965,0.0053965,0.0053965
188,61317.9,0.42664,0.88452,0.98794,0.38889,0.00537175,0.00537175,0.00537175
189,61639.1,0.42017,0.88642,0.98794,0.38507,0.005347,0.005347,0.005347
190,61958.8,0.41628,0.88832,0.98794,0.3816,0.00532225,0.00532225,0.00532225
191,62279.7,0.40949,0.88959,0.98794,0.37783,0.0052975,0.0052975,0.0052975
192,62599.7,0.41583,0.89023,0.98858,0.3739,0.00527275,0.00527275,0.00527275
193,62919.4,0.40762,0.89277,0.98858,0.3704,0.005248,0.005248,0.005248
194,63239.4,0.40063,0.89404,0.98858,0.36703,0.00522325,0.00522325,0.00522325
195,63559.8,0.40891,0.89467,0.98858,0.36401,0.0051985,0.0051985,0.0051985
196,63879.8,0.40104,0.8934,0.98858,0.36153,0.00517375,0.00517375,0.00517375
197,64199.6,0.40301,0.8953,0.98858,0.35985,0.005149,0.005149,0.005149
198,64517.9,0.39693,0.8953,0.98858,0.35654,0.00512425,0.00512425,0.00512425
199,64836.4,0.39535,0.89721,0.98858,0.35365,0.0050995,0.0050995,0.0050995
200,65153.7,0.39387,0.89848,0.98858,0.34983,0.00507475,0.00507475,0.00507475
201,65472.9,0.3969,0.90038,0.98794,0.34675,0.00505,0.00505,0.00505
202,65791.2,0.3917,0.90165,0.98794,0.34467,0.00502525,0.00502525,0.00502525
203,66110.3,0.39211,0.90102,0.98794,0.34242,0.0050005,0.0050005,0.0050005
204,66429.2,0.38284,0.90102,0.98858,0.3404,0.00497575,0.00497575,0.00497575
205,66747.7,0.3849,0.90355,0.98921,0.33849,0.004951,0.004951,0.004951
206,67067,0.38734,0.90482,0.98921,0.33729,0.00492625,0.00492625,0.00492625
207,67385.3,0.37946,0.90736,0.99048,0.33559,0.0049015,0.0049015,0.0049015
208,67705.1,0.3808,0.90609,0.99112,0.33357,0.00487675,0.00487675,0.00487675
209,68025.1,0.37611,0.90419,0.99112,0.33187,0.004852,0.004852,0.004852
210,68342.2,0.3677,0.90482,0.99112,0.33058,0.00482725,0.00482725,0.00482725
211,68660.2,0.37286,0.90546,0.99112,0.32849,0.0048025,0.0048025,0.0048025
212,68978.3,0.36902,0.90673,0.99112,0.3251,0.00477775,0.00477775,0.00477775
213,69296.9,0.36426,0.90799,0.99112,0.32278,0.004753,0.004753,0.004753
214,69614.9,0.36282,0.90799,0.99112,0.32044,0.00472825,0.00472825,0.00472825
215,69933,0.36577,0.90736,0.99175,0.31804,0.0047035,0.0047035,0.0047035
216,70251.3,0.35852,0.90799,0.99175,0.31637,0.00467875,0.00467875,0.00467875
217,70569.4,0.35494,0.90926,0.99175,0.3145,0.004654,0.004654,0.004654
218,70888.1,0.36187,0.90926,0.99175,0.3129,0.00462925,0.00462925,0.00462925
